,Timestamp,PSM_xyz,PSM_roll_pitchGripper_angle_radians,Puzzle_position_xyz,Gripper_angle_radians,PSM_roll_pitch,Input_L
0,1652781645.8057253,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca21066b40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)",
1,1652781651.0288303,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2ac0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '83.64848327636719', 'y': '133.25418090820312', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
2,1652781651.0515285,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2040>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '84.00370025634766', 'y': '131.47714233398438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
3,1652781651.0728545,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2cc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '85.42461395263672', 'y': '121.88113403320312', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
4,1652781651.0917807,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2540>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '86.49028778076172', 'y': '111.57431030273438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
5,1652781651.114112,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e23c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '87.20073699951172', 'y': '104.46615600585938', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
6,1652781651.1324627,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2740>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '87.20073699951172', 'y': '99.49044799804688', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
7,1652781651.1535823,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2bc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '87.20073699951172', 'y': '94.51480102539062', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
8,1652781651.1729562,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2e40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '86.84552001953125', 'y': '88.82821655273438', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
9,1652781651.1932378,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2440>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '86.84552001953125', 'y': '87.05117797851562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
